"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"240","Maria GRAPINI","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124785","Partidul Puterii Umaniste"
"241","Ingeborg GRÄSSLE","Germany","Group of the European People's Party (Christian Democrats)","28220","Christlich Demokratische Union Deutschlands"
"242","Karoline GRASWANDER-HAINZ","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","133316","Sozialdemokratische Partei Österreichs"
"243","Nathalie GRIESBECK","France","Group of the Alliance of Liberals and Democrats for Europe","28208","Mouvement Démocrate"
"244","Theresa GRIFFIN","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124961","Labour Party"
"245","Iveta GRIGULE-PĒTERSE","Latvia","Group of the Alliance of Liberals and Democrats for Europe","124745","Zaļo un Zemnieku savienība"
"246","Françoise GROSSETÊTE","France","Group of the European People's Party (Christian Democrats)","2025","Les Républicains"
"247","Andrzej GRZYB","Poland","Group of the European People's Party (Christian Democrats)","23785","Polskie Stronnictwo Ludowe"
"248","Roberto GUALTIERI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96892","Partito Democratico"
"249","Enrique GUERRERO SALOM","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96768","Partido Socialista Obrero Español"
"250","Sylvie GUILLAUME","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96952","Parti socialiste"
"251","Antanas GUOGA","Lithuania","Group of the European People's Party (Christian Democrats)","124763","Independent"
"252","Jytte GUTELAND","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124991","Arbetarepartiet- Socialdemokraterna"
"253","Sergio GUTIÉRREZ PRIETO","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","103488","Partido Socialista Obrero Español"
"254","András GYÜRK","Hungary","Group of the European People's Party (Christian Democrats)","23816","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"255","Takis HADJIGEORGIOU","Cyprus","Confederal Group of the European United Left - Nordic Green Left","96907","Progressive Party of Working People - Left - New Forces"
"256","Jussi HALLA-AHO","Finland","European Conservatives and Reformists Group","124727","Perussuomalaiset"
"257","Thomas HÄNDEL","Germany","Confederal Group of the European United Left - Nordic Green Left","96851","DIE LINKE."
"258","Daniel HANNAN","United Kingdom","European Conservatives and Reformists Group","4555","Conservative Party"
"259","Marian HARKIN","Ireland","Group of the Alliance of Liberals and Democrats for Europe","28116","Independent"
"260","Rebecca HARMS","Germany","Group of the Greens/European Free Alliance","28233","Bündnis 90/Die Grünen"
"261","Martin HÄUSLING","Germany","Group of the Greens/European Free Alliance","96752","Bündnis 90/Die Grünen"
"262","Heidi HAUTALA","Finland","Group of the Greens/European Free Alliance","2054","Vihreä liitto"
"263","Brian HAYES","Ireland","Group of the European People's Party (Christian Democrats)","118658","Fine Gael Party"
"264","Anja HAZEKAMP","Netherlands","Confederal Group of the European United Left - Nordic Green Left","125023","Partij voor de Dieren"
"265","Anna HEDH","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28131","Arbetarepartiet- Socialdemokraterna"
"266","Hans-Olaf HENKEL","Germany","European Conservatives and Reformists Group","124823","Liberal-Conservative Refomists"
"267","Esther HERRANZ GARCÍA","Spain","Group of the European People's Party (Christian Democrats)","22418","Partido Popular"
"268","Krzysztof HETMAN","Poland","Group of the European People's Party (Christian Democrats)","124895","Polskie Stronnictwo Ludowe"
"269","Maria HEUBUCH","Germany","Group of the Greens/European Free Alliance","124848","Bündnis 90/Die Grünen"
