"","fullName","country","politicalGroup","id","nationalPoliticalGroup"
"627","Jaromír ŠTĚTINA","Czech Republic","Group of the European People's Party (Christian Democrats)","124702","TOP 09 a Starostové"
"628","Helga STEVENS","Belgium","European Conservatives and Reformists Group","125105","Nieuw-Vlaamse Alliantie"
"629","Catherine STIHLER","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","4545","Labour Party"
"630","Theodor Dumitru STOLOJAN","Romania","Group of the European People's Party (Christian Democrats)","39721","Partidul Naţional Liberal"
"631","Olaf STUGER","Netherlands","Europe of Nations and Freedom Group","125028","Partij voor de Vrijheid"
"632","Dubravka ŠUICA","Croatia","Group of the European People's Party (Christian Democrats)","119434","Hrvatska demokratska zajednica"
"633","Richard SULÍK","Slovakia","European Conservatives and Reformists Group","124928","Sloboda a Solidarita"
"634","Patricija ŠULIN","Slovenia","Group of the European People's Party (Christian Democrats)","125103","Slovenska demokratska stranka"
"635","Pavel SVOBODA","Czech Republic","Group of the European People's Party (Christian Democrats)","96272","Křesťanská a demokratická unie - Československá strana lidová"
"636","Kay SWINBURNE","United Kingdom","European Conservatives and Reformists Group","96920","Conservative Party"
"637","Neoklis SYLIKIOTIS","Cyprus","Confederal Group of the European United Left - Nordic Green Left","124689","Progressive Party of Working People - Left - New Forces"
"638","Eleftherios SYNADINOS","Greece","Non-attached Members","125072","Independent"
"639","József SZÁJER","Hungary","Group of the European People's Party (Christian Democrats)","23821","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"640","Tibor SZANYI","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124703","Magyar Szocialista Párt"
"641","Adam SZEJNFELD","Poland","Group of the European People's Party (Christian Democrats)","124890","Platforma Obywatelska"
"642","Antonio TAJANI","Italy","Group of the European People's Party (Christian Democrats)","2187","Forza Italia"
"643","Dario TAMBURRANO","Italy","Europe of Freedom and Direct Democracy Group","124813","Movimento 5 Stelle"
"644","Claudiu Ciprian TĂNĂSESCU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96847","Partidul Social Democrat"
"645","Paul TANG","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","125020","Partij van de Arbeid"
"646","Charles TANNOCK","United Kingdom","European Conservatives and Reformists Group","4521","Conservative Party"
"647","Claudia ȚAPARDEL","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124793","Partidul Social Democrat"
"648","Marc TARABELLA","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","29579","Parti Socialiste"
"649","Indrek TARAND","Estonia","Group of the Greens/European Free Alliance","97136","Sõltumatu"
"650","Keith TAYLOR","United Kingdom","Group of the Greens/European Free Alliance","102931","Green Party"
"651","Pavel TELIČKA","Czech Republic","Group of the Alliance of Liberals and Democrats for Europe","124706","Independent"
"652","Josep-Maria TERRICABRAS","Spain","Group of the Greens/European Free Alliance","124932","Esquerra Republicana de Catalunya"
"653","Eleni THEOCHAROUS","Cyprus","European Conservatives and Reformists Group","25704","Independent"
"654","Isabelle THOMAS","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","114279","Génération.s, le mouvement"
"655","Róża Gräfin von THUN UND HOHENSTEIN","Poland","Group of the European People's Party (Christian Democrats)","96776","Platforma Obywatelska"
"656","Patrizia TOIA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","28340","Partito Democratico"
"657","László TŐKÉS","Hungary","Group of the European People's Party (Christian Democrats)","39726","Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt"
"658","Ivica TOLIĆ","Croatia","Group of the European People's Party (Christian Democrats)","185340","Hrvatska demokratska zajednica"
"659","Valdemar TOMAŠEVSKI","Lithuania","European Conservatives and Reformists Group","96697","Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga"
"660","Ruža TOMAŠIĆ","Croatia","European Conservatives and Reformists Group","119431","Hrvatska konzervativna stranka"
"661","Romana TOMC","Slovenia","Group of the European People's Party (Christian Democrats)","125104","Slovenska demokratska stranka"
"662","Yana TOOM","Estonia","Group of the Alliance of Liberals and Democrats for Europe","124700","Eesti Keskerakond"
"663","Estefanía TORRES MARTÍNEZ","Spain","Confederal Group of the European United Left - Nordic Green Left","131749","PODEMOS"
"664","Nils TORVALDS","Finland","Group of the Alliance of Liberals and Democrats for Europe","114268","Svenska folkpartiet"
"665","Evžen TOŠENOVSKÝ","Czech Republic","European Conservatives and Reformists Group","96713","Občanská demokratická strana"
"666","Ulrike TREBESIUS","Germany","European Conservatives and Reformists Group","124829","Liberal-Conservative Refomists"
"667","Ramon TREMOSA i BALCELLS","Spain","Group of the Alliance of Liberals and Democrats for Europe","97203","Partit Demòcrata Europeu i Català"
"668","Mylène TROSZCZYNSKI","France","Europe of Nations and Freedom Group","124758","Rassemblement national"
"669","Helga TRÜPEL","Germany","Group of the Greens/European Free Alliance","28240","Bündnis 90/Die Grünen"
"670","Mihai ŢURCANU","Romania","Group of the European People's Party (Christian Democrats)","131750","Partidul Naţional Liberal"
"671","Claude TURMES","Luxembourg","Group of the Greens/European Free Alliance","4432","Déi Gréng - Les Verts"
"672","Kazimierz Michał UJAZDOWSKI","Poland","Non-attached Members","23791","Independent"
"673","István UJHELYI","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124705","Magyar Szocialista Párt"
"674","Marita ULVSKOG","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96672","Arbetarepartiet- Socialdemokraterna"
"675","Traian UNGUREANU","Romania","Group of the European People's Party (Christian Democrats)","96835","Partidul Naţional Liberal"
"676","Miguel URBÁN CRESPO","Spain","Confederal Group of the European United Left - Nordic Green Left","131507","PODEMOS"
"677","Ernest URTASUN","Spain","Group of the Greens/European Free Alliance","124972","Iniciativa per Catalunya Verds"
"678","Vladimir URUTCHEV","Bulgaria","Group of the European People's Party (Christian Democrats)","38601","Citizens for European Development of Bulgaria"
"679","Viktor USPASKICH","Lithuania","Group of the Alliance of Liberals and Democrats for Europe","96698","Darbo partija"
"680","Inese VAIDERE","Latvia","Group of the European People's Party (Christian Democrats)","28617","Partija ""VIENOTĪBA"""
"681","Ivo VAJGL","Slovenia","Group of the Alliance of Liberals and Democrats for Europe","97019","DeSUS - Demokratična Stranka Upokojencev Slovenije"
"682","Ramón Luis VALCÁRCEL SISO","Spain","Group of the European People's Party (Christian Democrats)","125032","Partido Popular"
"683","Adina-Ioana VĂLEAN","Romania","Group of the European People's Party (Christian Democrats)","37324","Partidul Naţional Liberal"
"684","Elena VALENCIANO","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","4334","Partido Socialista Obrero Español"
"685","Bodil VALERO","Sweden","Group of the Greens/European Free Alliance","124993","Miljöpartiet de gröna"
"686","Marco VALLI","Italy","Europe of Freedom and Direct Democracy Group","124778","Movimento 5 Stelle"
"687","Ángela VALLINA","Spain","Confederal Group of the European United Left - Nordic Green Left","125050","Izquierda Xunida"
"688","Monika VANA","Austria","Group of the Greens/European Free Alliance","124934","Die Grünen - Die Grüne Alternative"
"689","Anneleen VAN BOSSUYT","Belgium","European Conservatives and Reformists Group","117491","Nieuw-Vlaamse Alliantie"
"690","Kathleen VAN BREMPT","Belgium","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","5729","Socialistische Partij.Anders"
"691","Tom VANDENKENDELAERE","Belgium","Group of the European People's Party (Christian Democrats)","129164","Christen-Democratisch & Vlaams"
"692","Geoffrey VAN ORDEN","United Kingdom","European Conservatives and Reformists Group","4513","Conservative Party"
"693","Derek VAUGHAN","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96918","Labour Party"
"694","Hilde VAUTMANS","Belgium","Group of the Alliance of Liberals and Democrats for Europe","130100","Open Vlaamse Liberalen en Democraten"
"695","Mirja VEHKAPERÄ","Finland","Group of the Alliance of Liberals and Democrats for Europe","193269",NA
"696","Marie-Christine VERGIAT","France","Confederal Group of the European United Left - Nordic Green Left","96858","Front de Gauche"
"697","Sabine VERHEYEN","Germany","Group of the European People's Party (Christian Democrats)","96756","Christlich Demokratische Union Deutschlands"
"698","Guy VERHOFSTADT","Belgium","Group of the Alliance of Liberals and Democrats for Europe","97058","Open Vlaamse Liberalen en Democraten"
"699","Miguel VIEGAS","Portugal","Confederal Group of the European United Left - Nordic Green Left","125100","Partido Comunista Português"
"700","Marie-Pierre VIEU","France","Confederal Group of the European United Left - Nordic Green Left","188721","Front de Gauche"
"701","Harald VILIMSKY","Austria","Europe of Nations and Freedom Group","125001","Freiheitliche Partei Österreichs"
"702","Daniele VIOTTI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124791","Partito Democratico"
"703","Henna VIRKKUNEN","Finland","Group of the European People's Party (Christian Democrats)","124726","Kansallinen Kokoomus"
"704","Anders Primdahl VISTISEN","Denmark","European Conservatives and Reformists Group","124875","Dansk Folkeparti"
"705","Udo VOIGT","Germany","Non-attached Members","124832","Nationaldemokratische Partei Deutschlands"
"706","Axel VOSS","Germany","Group of the European People's Party (Christian Democrats)","96761","Christlich Demokratische Union Deutschlands"
"707","Elissavet VOZEMBERG-VRIONIDI","Greece","Group of the European People's Party (Christian Democrats)","125065","Nea Demokratia"
"708","Thomas WAITZ","Austria","Group of the Greens/European Free Alliance","190464","Die Grünen - Die Grüne Alternative"
"709","Jarosław WAŁĘSA","Poland","Group of the European People's Party (Christian Democrats)","96774","Platforma Obywatelska"
"710","Julie WARD","United Kingdom","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124963","Labour Party"
"711","Manfred WEBER","Germany","Group of the European People's Party (Christian Democrats)","28229","Christlich-Soziale Union in Bayern e.V."
"712","Renate WEBER","Romania","Group of the Alliance of Liberals and Democrats for Europe","39713","Independent"
"713","Josef WEIDENHOLZER","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","111014","Sozialdemokratische Partei Österreichs"
"714","Jakob von WEIZSÄCKER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124840","Sozialdemokratische Partei Deutschlands"
"715","Bogdan Brunon WENTA","Poland","Group of the European People's Party (Christian Democrats)","124903","Platforma Obywatelska"
"716","Martina WERNER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124826","Sozialdemokratische Partei Deutschlands"
"717","Kerstin WESTPHAL","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96839","Sozialdemokratische Partei Deutschlands"
"718","Rainer WIELAND","Germany","Group of the European People's Party (Christian Democrats)","2323","Christlich Demokratische Union Deutschlands"
"719","Lieve WIERINCK","Belgium","Group of the Alliance of Liberals and Democrats for Europe","183022","Open Vlaamse Liberalen en Democraten"
"720","Cecilia WIKSTRÖM","Sweden","Group of the Alliance of Liberals and Democrats for Europe","96677","Liberalerna"
"721","Kristina WINBERG","Sweden","Europe of Freedom and Direct Democracy Group","124995","Sverigedemokraterna"
"722","Hermann WINKLER","Germany","Group of the European People's Party (Christian Democrats)","96764","Christlich Demokratische Union Deutschlands"
"723","Iuliu WINKLER","Romania","Group of the European People's Party (Christian Democrats)","39725","Uniunea Democrată Maghiară din România"
"724","Jadwiga WIŚNIEWSKA","Poland","European Conservatives and Reformists Group","124877","Prawo i Sprawiedliwość"
"725","Tiemo WÖLKEN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","185619","Sozialdemokratische Partei Deutschlands"
"726","Steven WOOLFE","United Kingdom","Non-attached Members","124966","Independent"
"727","Anna ZÁBORSKÁ","Slovakia","Group of the European People's Party (Christian Democrats)","23894","Kresťanskodemokratické hnutie"
"728","Theodoros ZAGORAKIS","Greece","Group of the European People's Party (Christian Democrats)","125067","Nea Demokratia"
"729","Jan ZAHRADIL","Czech Republic","European Conservatives and Reformists Group","23712","Občanská demokratická strana"
"730","Boris ZALA","Slovakia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96656","SMER-Sociálna demokracia"
"731","Francis ZAMMIT DIMECH","Malta","Group of the European People's Party (Christian Democrats)","188906","Partit Nazzjonalista"
"732","Marco ZANNI","Italy","Europe of Nations and Freedom Group","124780","Independent"
"733","Flavio ZANONATO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124800","Articolo UNO – Movimento Democratico e Progressista"
"734","Sotirios ZARIANOPOULOS","Greece","Non-attached Members","125090","Communist Party of Greece"
"735","Tomáš ZDECHOVSKÝ","Czech Republic","Group of the European People's Party (Christian Democrats)","124713","Křesťanská a demokratická unie - Československá strana lidová"
"736","Bogdan Andrzej ZDROJEWSKI","Poland","Group of the European People's Party (Christian Democrats)","124893","Platforma Obywatelska"
"737","Joachim ZELLER","Germany","Group of the European People's Party (Christian Democrats)","96762","Christlich Demokratische Union Deutschlands"
"738","Janusz ZEMKE","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","96784","Sojusz Lewicy Demokratycznej - Unia Pracy"
"739","Auke ZIJLSTRA","Netherlands","Europe of Nations and Freedom Group","103246","Partij voor de Vrijheid"
"740","Roberts ZĪLE","Latvia","European Conservatives and Reformists Group","28615","Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK"""
"741","Gabriele ZIMMER","Germany","Confederal Group of the European United Left - Nordic Green Left","28248","DIE LINKE."
"742","Jana ŽITŇANSKÁ","Slovakia","European Conservatives and Reformists Group","124901","NOVA"
"743","Kosma ZŁOTOWSKI","Poland","European Conservatives and Reformists Group","124884","Prawo i Sprawiedliwość"
"744","Maria Gabriela ZOANĂ","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","191377","Partidul Social Democrat"
"745","Damiano ZOFFOLI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","131051","Partito Democratico"
"746","Stanisław ŻÓŁTEK","Poland","Europe of Nations and Freedom Group","124902","Kongres Nowej Prawicy"
"747","Carlos ZORRINHO","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","124739","Partido Socialista"
"748","Željana ZOVKO","Croatia","Group of the European People's Party (Christian Democrats)","185341","Hrvatska demokratska zajednica"
"749","Marco ZULLO","Italy","Europe of Freedom and Direct Democracy Group","125237","Movimento 5 Stelle"
"750","Milan ZVER","Slovenia","Group of the European People's Party (Christian Democrats)","96933","Slovenska demokratska stranka"
"751","Tadeusz ZWIEFKA","Poland","Group of the European People's Party (Christian Democrats)","28301","Platforma Obywatelska"
