Estadística de Migraciones
                Total,2395.0,3343.0,2138.0,728.0,1325.0,4513.0,5339.0,3848.0,3115.0,1849.0,1295.0,829.0,557.0,552.0,385.0,255.0,198.0,75.0,22.0,1.0,0.0,
            El mismo de procedencia,
                Total,156.0,168.0,347.0,822.0,767.0,657.0,884.0,1100.0,1138.0,836.0,582.0,440.0,241.0,183.0,89.0,48.0,22.0,8.0,0.0,0.0,0.0,
            Otros,
                Total,54.0,126.0,282.0,416.0,539.0,640.0,904.0,1250.0,1470.0,1151.0,654.0,315.0,125.0,49.0,28.0,14.0,6.0,6.0,1.0,1.0,0.0,
        Extranjera,
            España,
                Total,3478.0,2805.0,647.0,120.0,58.0,33.0,42.0,25.0,45.0,21.0,14.0,5.0,14.0,16.0,7.0,8.0,3.0,1.0,2.0,0.0,0.0,
            El mismo de procedencia,
                Total,825.0,1916.0,3299.0,4489.0,7983.0,13560.0,16361.0,16108.0,12505.0,9178.0,6274.0,4536.0,3349.0,2851.0,2020.0,1176.0,431.0,161.0,30.0,8.0,0.0,
            Otros,
                Total,233.0,472.0,579.0,922.0,2168.0,3590.0,4630.0,4617.0,3437.0,2285.0,1439.0,911.0,610.0,433.0,229.0,95.0,50.0,20.0,2.0,0.0,0.0,
    Mujeres,
        Española,
            España,
                Total,2295.0,3120.0,1986.0,756.0,1626.0,4922.0,4779.0,3033.0,2344.0,1055.0,782.0,437.0,322.0,342.0,368.0,243.0,216.0,123.0,35.0,9.0,1.0,
            El mismo de procedencia,
                Total,146.0,149.0,364.0,888.0,815.0,760.0,1234.0,1321.0,1137.0,777.0,645.0,506.0,398.0,269.0,151.0,73.0,43.0,15.0,5.0,0.0,0.0,
            Otros,
                Total,52.0,145.0,246.0,445.0,556.0,800.0,1123.0,1105.0,1007.0,624.0,354.0,197.0,100.0,58.0,31.0,18.0,7.0,5.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,3302.0,2540.0,654.0,95.0,71.0,39.0,27.0,19.0,21.0,15.0,8.0,10.0,13.0,21.0,10.0,9.0,9.0,4.0,0.0,0.0,0.0,
            El mismo de procedencia,
                Total,657.0,1770.0,2885.0,3947.0,7338.0,12088.0,11152.0,9329.0,6941.0,5530.0,4574.0,4075.0,3309.0,2964.0,1833.0,1029.0,374.0,126.0,32.0,3.0,0.0,
            Otros,
                Total,217.0,565.0,683.0,893.0,2115.0,3599.0,3576.0,2825.0,2026.0,1318.0,1040.0,840.0,641.0,519.0,247.0,119.0,41.0,14.0,2.0,0.0,0.0,
2014,
    Hombres,
        Española,
            España,
                Total,2327.0,2951.0,1708.0,601.0,1044.0,3757.0,4307.0,3109.0,2500.0,1440.0,1046.0,698.0,445.0,494.0,324.0,260.0,144.0,56.0,12.0,0.0,0.0,
            El mismo de procedencia,
                Total,110.0,204.0,413.0,786.0,696.0,582.0,882.0,1016.0,1025.0,783.0,589.0,359.0,189.0,169.0,96.0,51.0,19.0,7.0,1.0,1.0,0.0,
            Otros,
                Total,49.0,113.0,189.0,332.0,468.0,552.0,843.0,1032.0,1166.0,963.0,526.0,259.0,84.0,44.0,15.0,9.0,4.0,4.0,0.0,1.0,0.0,
        Extranjera,
            España,
                Total,5285.0,2741.0,790.0,156.0,79.0,51.0,28.0,46.0,30.0,27.0,13.0,16.0,11.0,11.0,5.0,1.0,7.0,2.0,1.0,0.0,0.0,
            El mismo de procedencia,
                Total,899.0,2587.0,4572.0,6114.0,11192.0,19331.0,23515.0,22289.0,16243.0,11412.0,7943.0,5610.0,3577.0,2814.0,2216.0,1317.0,593.0,275.0,103.0,23.0,4.0,
            Otros,
                Total,206.0,584.0,737.0,1007.0,2348.0,4233.0,5318.0,4955.0,3571.0,2270.0,1520.0,955.0,533.0,382.0,224.0,103.0,48.0,10.0,1.0,1.0,0.0,
    Mujeres,
        Española,
            España,
                Total,2206.0,2809.0,1619.0,605.0,1379.0,3919.0,3950.0,2395.0,1774.0,837.0,604.0,388.0,317.0,353.0,291.0,263.0,191.0,106.0,36.0,6.0,1.0,
            El mismo de procedencia,
                Total,116.0,159.0,419.0,865.0,812.0,745.0,1224.0,1220.0,1058.0,656.0,600.0,440.0,244.0,233.0,119.0,57.0,30.0,13.0,3.0,0.0,0.0,
            Otros,
                Total,50.0,100.0,180.0,342.0,488.0,664.0,942.0,916.0,760.0,509.0,288.0,138.0,66.0,37.0,35.0,6.0,9.0,1.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,4547.0,2945.0,686.0,138.0,66.0,28.0,30.0,24.0,19.0,10.0,12.0,16.0,23.0,18.0,14.0,20.0,3.0,1.0,1.0,1.0,0.0,
            El mismo de procedencia,
                Total,849.0,2287.0,4195.0,5041.0,9898.0,16621.0,16518.0,12550.0,9262.0,7151.0,6062.0,5010.0,3844.0,3152.0,2028.0,1135.0,570.0,268.0,94.0,45.0,3.0,
            Otros,
                Total,233.0,595.0,793.0,913.0,2295.0,4379.0,4460.0,3286.0,2077.0,1418.0,1078.0,812.0,624.0,465.0,235.0,117.0,56.0,30.0,4.0,0.0,0.0,
2013,
    Hombres,
        Española,
            España,
                Total,2385.0,2755.0,1480.0,530.0,1011.0,3186.0,3848.0,2933.0,2332.0,1354.0,1104.0,721.0,592.0,601.0,389.0,358.0,197.0,76.0,19.0,1.0,0.0,
            El mismo de procedencia,
                Total,138.0,196.0,467.0,840.0,598.0,548.0,913.0,1001.0,956.0,727.0,481.0,298.0,152.0,158.0,84.0,45.0,21.0,6.0,0.0,0.0,0.0,
            Otros,
                Total,77.0,142.0,187.0,234.0,333.0,401.0,689.0,725.0,872.0,738.0,385.0,161.0,77.0,37.0,15.0,8.0,10.0,2.0,1.0,0.0,0.0,
        Extranjera,
            España,
                Total,7806.0,3039.0,542.0,111.0,61.0,57.0,52.0,42.0,43.0,34.0,25.0,16.0,15.0,9.0,8.0,11.0,2.0,1.0,0.0,1.0,0.0,
            El mismo de procedencia,
                Total,1412.0,3884.0,6637.0,9296.0,17044.0,30557.0,37743.0,31503.0,23193.0,15828.0,10821.0,6702.0,4387.0,2954.0,2260.0,1607.0,801.0,327.0,152.0,29.0,6.0,
            Otros,
                Total,382.0,699.0,934.0,1416.0,3794.0,6847.0,8419.0,7050.0,4831.0,3034.0,1813.0,1078.0,659.0,392.0,294.0,201.0,84.0,37.0,13.0,1.0,0.0,
    Mujeres,
        Española,
            España,
                Total,2264.0,2637.0,1340.0,501.0,1174.0,3278.0,3425.0,2209.0,1678.0,767.0,654.0,410.0,401.0,452.0,337.0,348.0,239.0,114.0,27.0,9.0,1.0,
            El mismo de procedencia,
                Total,133.0,163.0,456.0,775.0,675.0,660.0,1123.0,1111.0,939.0,643.0,522.0,357.0,226.0,187.0,99.0,52.0,29.0,8.0,2.0,0.0,0.0,
            Otros,
                Total,69.0,109.0,169.0,225.0,405.0,491.0,726.0,717.0,563.0,371.0,219.0,103.0,50.0,40.0,28.0,15.0,6.0,5.0,1.0,0.0,0.0,
        Extranjera,
            España,
                Total,7255.0,2782.0,560.0,146.0,61.0,29.0,44.0,45.0,19.0,15.0,8.0,11.0,9.0,13.0,28.0,22.0,11.0,0.0,0.0,0.0,0.0,
            El mismo de procedencia,
                Total,1231.0,3651.0,6124.0,7678.0,14270.0,25392.0,24939.0,17951.0,13457.0,10490.0,8110.0,6723.0,4877.0,3884.0,2660.0,1528.0,723.0,382.0,162.0,27.0,8.0,
            Otros,
                Total,404.0,810.0,1025.0,1359.0,3413.0,6243.0,6003.0,4085.0,2680.0,1910.0,1398.0,1098.0,848.0,594.0,387.0,203.0,103.0,66.0,19.0,5.0,1.0,
2012,
    Hombres,
        Española,
            España,
                Total,2085.0,2083.0,988.0,384.0,852.0,2635.0,3158.0,2292.0,1752.0,1102.0,878.0,595.0,530.0,469.0,300.0,269.0,163.0,65.0,17.0,5.0,0.0,
            El mismo de procedencia,
                Total,128.0,166.0,417.0,608.0,402.0,476.0,682.0,703.0,677.0,439.0,311.0,157.0,107.0,110.0,50.0,33.0,14.0,7.0,1.0,0.0,0.0,
            Otros,
                Total,63.0,99.0,174.0,193.0,257.0,329.0,552.0,493.0,654.0,497.0,257.0,119.0,62.0,26.0,5.0,8.0,6.0,2.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,6787.0,1973.0,418.0,98.0,33.0,47.0,27.0,26.0,31.0,19.0,20.0,12.0,14.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,
            El mismo de procedencia,
                Total,1324.0,3964.0,6027.0,7325.0,16140.0,29016.0,35142.0,28265.0,21093.0,13729.0,9065.0,5929.0,3271.0,2072.0,1440.0,838.0,428.0,162.0,68.0,20.0,2.0,
            Otros,
                Total,270.0,637.0,711.0,1161.0,3158.0,5841.0,7597.0,5815.0,4072.0,2517.0,1487.0,862.0,490.0,268.0,202.0,115.0,59.0,19.0,7.0,3.0,0.0,
    Mujeres,
        Española,
            España,
                Total,1935.0,1945.0,917.0,406.0,1043.0,2675.0,2731.0,1915.0,1347.0,747.0,535.0,323.0,329.0,377.0,312.0,292.0,213.0,90.0,21.0,3.0,0.0,
            El mismo de procedencia,
                Total,121.0,172.0,405.0,613.0,463.0,509.0,872.0,764.0,638.0,408.0,319.0,255.0,142.0,148.0,93.0,48.0,21.0,6.0,1.0,1.0,0.0,
            Otros,
                Total,54.0,86.0,177.0,211.0,236.0,343.0,578.0,501.0,440.0,250.0,165.0,70.0,35.0,19.0,14.0,11.0,8.0,2.0,1.0,0.0,0.0,
        Extranjera,
            España,
                Total,6425.0,2031.0,324.0,70.0,23.0,55.0,38.0,20.0,9.0,10.0,8.0,7.0,15.0,17.0,8.0,12.0,14.0,0.0,0.0,0.0,0.0,
            El mismo de procedencia,
                Total,1198.0,3513.0,5709.0,6173.0,12421.0,20973.0,20405.0,14921.0,10863.0,8043.0,6570.0,5306.0,3641.0,2529.0,1579.0,899.0,486.0,225.0,80.0,5.0,5.0,
            Otros,
                Total,333.0,731.0,877.0,1041.0,2642.0,4721.0,4399.0,3087.0,2008.0,1459.0,1058.0,793.0,576.0,355.0,241.0,130.0,76.0,38.0,14.0,0.0,0.0,
2011,
    Hombres,
        Española,
            España,
                Total,1825.0,1723.0,817.0,454.0,798.0,2648.0,3382.0,2447.0,1931.0,1241.0,971.0,687.0,567.0,522.0,360.0,336.0,148.0,64.0,13.0,1.0,0.0,
            El mismo de procedencia,
                Total,151.0,208.0,336.0,443.0,341.0,362.0,555.0,479.0,467.0,308.0,206.0,136.0,93.0,112.0,74.0,43.0,15.0,2.0,1.0,0.0,0.0,
            Otros,
                Total,74.0,123.0,134.0,170.0,229.0,319.0,397.0,424.0,601.0,445.0,228.0,116.0,60.0,23.0,13.0,9.0,2.0,3.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,6301.0,1537.0,308.0,83.0,62.0,80.0,82.0,84.0,30.0,44.0,25.0,24.0,17.0,25.0,10.0,13.0,18.0,6.0,7.0,0.0,0.0,
            El mismo de procedencia,
                Total,1326.0,3723.0,5281.0,6576.0,15497.0,28220.0,32126.0,25408.0,18377.0,12141.0,7805.0,4505.0,2764.0,1543.0,1074.0,660.0,309.0,133.0,51.0,0.0,2.0,
            Otros,
                Total,353.0,771.0,946.0,1273.0,3291.0,6032.0,7102.0,5851.0,4003.0,2532.0,1528.0,922.0,668.0,319.0,247.0,125.0,50.0,26.0,13.0,0.0,4.0,
    Mujeres,
        Española,
            España,
                Total,1737.0,1568.0,732.0,444.0,971.0,2739.0,3268.0,2288.0,1741.0,837.0,682.0,495.0,398.0,436.0,305.0,315.0,162.0,91.0,34.0,8.0,0.0,
            El mismo de procedencia,
                Total,181.0,187.0,389.0,453.0,376.0,423.0,628.0,511.0,437.0,271.0,195.0,174.0,141.0,118.0,91.0,50.0,24.0,10.0,1.0,0.0,0.0,
            Otros,
                Total,57.0,136.0,147.0,169.0,216.0,336.0,510.0,474.0,353.0,218.0,121.0,57.0,45.0,33.0,26.0,10.0,8.0,7.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,5671.0,1424.0,285.0,87.0,31.0,46.0,58.0,39.0,23.0,24.0,12.0,10.0,36.0,37.0,24.0,7.0,21.0,3.0,3.0,0.0,0.0,
            El mismo de procedencia,
                Total,1187.0,3365.0,4955.0,5270.0,11418.0,18284.0,17213.0,12158.0,8947.0,7051.0,5260.0,4151.0,3228.0,2033.0,1480.0,799.0,401.0,191.0,59.0,16.0,9.0,
            Otros,
                Total,394.0,888.0,1087.0,1068.0,2900.0,4698.0,4263.0,2960.0,2062.0,1512.0,1250.0,947.0,692.0,439.0,330.0,214.0,112.0,72.0,7.0,5.0,8.0,
2010,
    Hombres,
        Española,
            España,
                Total,1495.0,1262.0,569.0,361.0,623.0,1833.0,2367.0,1618.0,1330.0,862.0,695.0,533.0,503.0,496.0,307.0,243.0,117.0,48.0,18.0,3.0,0.0,
            El mismo de procedencia,
                Total,169.0,202.0,264.0,311.0,231.0,344.0,364.0,332.0,290.0,218.0,130.0,77.0,73.0,91.0,52.0,35.0,19.0,8.0,0.0,0.0,0.0,
            Otros,
                Total,59.0,73.0,105.0,101.0,152.0,235.0,342.0,283.0,396.0,298.0,128.0,101.0,49.0,27.0,12.0,9.0,6.0,2.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,5684.0,1226.0,277.0,116.0,63.0,52.0,86.0,68.0,54.0,28.0,32.0,24.0,37.0,14.0,15.0,26.0,13.0,6.0,6.0,1.0,0.0,
            El mismo de procedencia,
                Total,1675.0,4357.0,5514.0,6597.0,17285.0,30509.0,32495.0,24884.0,18103.0,12050.0,7919.0,4798.0,2869.0,1781.0,1264.0,752.0,403.0,147.0,47.0,23.0,9.0,
            Otros,
                Total,380.0,916.0,877.0,1168.0,3224.0,6294.0,7296.0,5447.0,3800.0,2447.0,1699.0,977.0,590.0,355.0,245.0,168.0,84.0,37.0,8.0,5.0,1.0,
    Mujeres,
        Española,
            España,
                Total,1404.0,1123.0,494.0,347.0,751.0,1914.0,2345.0,1450.0,1120.0,575.0,443.0,373.0,401.0,350.0,271.0,290.0,173.0,83.0,29.0,2.0,0.0,
            El mismo de procedencia,
                Total,159.0,183.0,301.0,299.0,241.0,318.0,380.0,309.0,238.0,217.0,117.0,113.0,96.0,116.0,89.0,46.0,25.0,11.0,1.0,1.0,0.0,
            Otros,
                Total,72.0,73.0,121.0,112.0,184.0,252.0,333.0,281.0,226.0,158.0,105.0,56.0,35.0,33.0,24.0,10.0,10.0,4.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,5282.0,1250.0,272.0,128.0,46.0,55.0,49.0,36.0,33.0,20.0,24.0,27.0,27.0,35.0,48.0,18.0,31.0,20.0,8.0,5.0,1.0,
            El mismo de procedencia,
                Total,1545.0,4094.0,5060.0,5393.0,12788.0,19871.0,17893.0,12559.0,9272.0,6706.0,5693.0,4403.0,3307.0,2263.0,1579.0,823.0,451.0,208.0,57.0,38.0,18.0,
            Otros,
                Total,404.0,882.0,972.0,1034.0,2670.0,4388.0,4130.0,2824.0,2017.0,1435.0,1114.0,860.0,641.0,411.0,305.0,158.0,131.0,67.0,8.0,10.0,1.0,
2009,
    Hombres,
        Española,
            España,
                Total,1576.0,1069.0,607.0,396.0,518.0,1695.0,2179.0,1288.0,1077.0,728.0,558.0,470.0,441.0,362.0,251.0,211.0,129.0,54.0,15.0,2.0,0.0,
            El mismo de procedencia,
                Total,174.0,292.0,382.0,256.0,232.0,281.0,298.0,239.0,212.0,153.0,76.0,75.0,66.0,76.0,56.0,43.0,14.0,5.0,0.0,0.0,0.0,
            Otros,
                Total,54.0,102.0,109.0,99.0,108.0,163.0,221.0,253.0,294.0,201.0,107.0,65.0,38.0,19.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,4781.0,894.0,189.0,82.0,61.0,83.0,95.0,64.0,55.0,24.0,36.0,23.0,20.0,21.0,13.0,16.0,6.0,8.0,0.0,2.0,0.0,
            El mismo de procedencia,
                Total,1898.0,4594.0,4889.0,6162.0,18585.0,30281.0,30608.0,23667.0,16877.0,11445.0,7426.0,4438.0,2570.0,1557.0,1000.0,579.0,296.0,145.0,32.0,14.0,8.0,
            Otros,
                Total,427.0,832.0,782.0,1071.0,3231.0,6310.0,6855.0,5322.0,3448.0,2395.0,1407.0,833.0,511.0,305.0,222.0,116.0,76.0,29.0,8.0,1.0,4.0,
    Mujeres,
        Española,
            España,
                Total,1404.0,1005.0,571.0,364.0,621.0,1842.0,2263.0,1283.0,924.0,497.0,372.0,292.0,306.0,295.0,247.0,219.0,129.0,74.0,13.0,3.0,2.0,
            El mismo de procedencia,
                Total,160.0,292.0,380.0,259.0,198.0,239.0,362.0,282.0,196.0,143.0,130.0,97.0,88.0,93.0,72.0,42.0,18.0,9.0,1.0,0.0,0.0,
            Otros,
                Total,66.0,108.0,144.0,88.0,144.0,235.0,257.0,241.0,209.0,126.0,70.0,42.0,31.0,17.0,10.0,5.0,8.0,0.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,4358.0,874.0,200.0,73.0,55.0,68.0,27.0,46.0,30.0,22.0,18.0,34.0,26.0,30.0,25.0,17.0,17.0,12.0,4.0,8.0,0.0,
            El mismo de procedencia,
                Total,1705.0,4127.0,4857.0,4976.0,13281.0,19378.0,16218.0,11446.0,8474.0,6360.0,5262.0,3988.0,2916.0,1980.0,1265.0,781.0,369.0,189.0,57.0,30.0,15.0,
            Otros,
                Total,457.0,899.0,891.0,967.0,2577.0,4257.0,3662.0,2568.0,1735.0,1290.0,990.0,818.0,579.0,438.0,283.0,187.0,102.0,46.0,14.0,15.0,6.0,
2008,
    Hombres,
        Española,
            España,
                Total,991.0,958.0,635.0,388.0,623.0,1868.0,2111.0,1313.0,1052.0,646.0,549.0,493.0,441.0,299.0,259.0,206.0,106.0,32.0,9.0,2.0,1.0,
            El mismo de procedencia,
                Total,111.0,255.0,366.0,245.0,179.0,246.0,208.0,196.0,170.0,111.0,80.0,57.0,53.0,73.0,50.0,18.0,6.0,2.0,3.0,0.0,0.0,
            Otros,
                Total,56.0,84.0,108.0,83.0,105.0,158.0,206.0,207.0,222.0,145.0,83.0,62.0,39.0,18.0,12.0,7.0,6.0,1.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,3425.0,610.0,151.0,84.0,65.0,57.0,78.0,40.0,33.0,30.0,33.0,20.0,12.0,19.0,16.0,12.0,6.0,5.0,3.0,2.0,0.0,
            El mismo de procedencia,
                Total,1414.0,3164.0,3465.0,4579.0,14022.0,22470.0,21862.0,17023.0,11700.0,7882.0,5139.0,2918.0,1685.0,1219.0,798.0,467.0,202.0,87.0,21.0,9.0,4.0,
            Otros,
                Total,348.0,708.0,672.0,938.0,2597.0,5101.0,5344.0,4156.0,2863.0,1871.0,1213.0,682.0,376.0,320.0,202.0,109.0,61.0,29.0,10.0,7.0,0.0,
    Mujeres,
        Española,
            España,
                Total,1025.0,938.0,563.0,372.0,723.0,2125.0,2209.0,1255.0,923.0,459.0,384.0,306.0,314.0,255.0,255.0,191.0,121.0,48.0,24.0,5.0,3.0,
            El mismo de procedencia,
                Total,115.0,271.0,335.0,213.0,165.0,214.0,245.0,195.0,170.0,104.0,86.0,72.0,69.0,96.0,60.0,47.0,24.0,5.0,1.0,0.0,0.0,
            Otros,
                Total,37.0,109.0,100.0,100.0,116.0,206.0,217.0,168.0,156.0,117.0,72.0,47.0,25.0,20.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,
        Extranjera,
            España,
                Total,3152.0,554.0,149.0,76.0,29.0,58.0,32.0,32.0,15.0,20.0,18.0,24.0,23.0,8.0,26.0,10.0,7.0,3.0,7.0,6.0,0.0,
            El mismo de procedencia,
                Total,1326.0,3141.0,3211.0,3483.0,9816.0,14199.0,11958.0,8468.0,6136.0,4670.0,3907.0,3048.0,2198.0,1494.0,1098.0,588.0,293.0,129.0,37.0,14.0,2.0,
            Otros,
                Total,358.0,767.0,770.0,824.0,2113.0,3399.0,2939.0,2155.0,1494.0,1097.0,909.0,719.0,502.0,388.0,276.0,148.0,87.0,48.0,17.0,5.0,1.0,
Notas:
Fuente: Instituto Nacional de Estadística
